theta_sector_deg,n_total,n_R_high,p_either_sector,p_either_given_R_high,sector_enrichment
-180 to -150,1655,199,0.10755287009063444,0.05527638190954774,0.5139461351702332
-150 to -120,1620,79,0.07469135802469136,0.27848101265822783,3.728423475258918
-120 to -90,1555,10,0.05337620578778135,0.8,14.987951807228917
-90 to -60,1700,0,,,
-60 to -30,1599,28,0.1125703564727955,0.8571428571428571,7.614285714285714
-30 to 0,1662,133,0.15403128760529483,0.3233082706766917,2.0989779135338344
0 to 30,1662,217,0.1263537906137184,0.25806451612903225,2.0423963133640552
30 to 60,1570,170,0.08853503184713375,0.12941176470588237,1.4617012272534915
60 to 90,1510,20,0.10927152317880795,0.0,0.0
90 to 120,1724,49,0.12703016241299303,0.0,0.0
120 to 150,1621,22,0.0795805058605799,0.0,0.0
150 to 180,1599,47,0.07817385866166354,0.23404255319148937,2.993872340425532
