name,bodies,observed_high_R_plv,observed_background_plv,observed_contrast,surrogate_mean_contrast,surrogate_median_contrast,surrogate_std_contrast,phase_randomized_p,z_score,n_surrogates,phase_randomized_fdr_q
Venus_Mars_Jupiter,Venus+Mars+Jupiter,0.2888536311762919,0.004597781161725655,0.28425585001456627,0.10097362267854613,0.09412121051736502,0.06198071037430243,0.00599880023995201,2.957084974166576,5000,0.08998200359928014
Venus_Mars,Venus+Mars,0.2521517868788462,0.0068014286769458275,0.24535035820190038,0.10315167208888201,0.09562109871385835,0.06262531521750186,0.021795640871825634,2.2706262734032223,5000,0.16346730653869226
Mercury_Venus_Mars,Mercury+Venus+Mars,0.21878451920817674,0.026480771022534128,0.1923037481856426,0.09421380224114999,0.08672279098469432,0.058209736780205204,0.0629874025194961,1.6851123432299917,5000,0.31493701259748047
All_NonSolar_Major,Mercury+Venus+Mars+Jupiter+Saturn+Uranus+Neptune+Moon,0.14560597362694397,0.005533919501863459,0.1400720541250805,0.08771571617504462,0.08197788964295757,0.053428318791952915,0.16736652669466107,0.9799360925787078,5000,0.5626874625074985
Venus_Mars_Moon,Venus+Mars+Moon,0.13496388114735136,0.007822299020035707,0.12714158212731566,0.08292927204835855,0.07750600629709029,0.048985734899071265,0.1875624875024995,0.9025547982499563,5000,0.5626874625074985
Jupiter_Saturn_Uranus_Neptune,Jupiter+Saturn+Uranus+Neptune,0.13444298051786993,0.019418259984980195,0.11502472053288973,0.0970658403490006,0.09112065197058455,0.058454631451025106,0.34813037392521495,0.3072276693581682,5000,0.7845573742394378
Mars_Jupiter,Mars+Jupiter,0.13257366119064518,0.018026511550148398,0.11454714964049678,0.096948054399562,0.08997317710216196,0.06116247140774778,0.366126774645071,0.28774336346888374,5000,0.7845573742394378
Venus_Jupiter_Neptune,Venus+Jupiter+Neptune,0.10154346004357447,0.010780163293123318,0.09076329675045115,0.0955608415757225,0.09040994669527469,0.05756357302870933,0.4989002199560088,-0.0833434162066107,5000,0.885465763990059
Venus_Jupiter,Venus+Jupiter,0.0857190438623302,0.013800515922078956,0.07191852794025125,0.09575096548228228,0.08886592661308443,0.0579489197955378,0.615876824635073,-0.41126629497356365,5000,0.885465763990059
Jupiter_Saturn_Uranus_Pluto,Jupiter+Saturn+Uranus+Pluto,0.10585115823613031,0.0341810954304982,0.07167006280563211,0.10830530686211177,0.10236705101779624,0.06377194215661504,0.6918616276744651,-0.5744727668244538,5000,0.885465763990059
Jupiter_Uranus_Neptune,Jupiter+Uranus+Neptune,0.07020452553213205,0.008526570055845747,0.0616779554762863,0.09355354891299485,0.08980756437151903,0.05401417723481431,0.6882623475304939,-0.5901338327923922,5000,0.885465763990059
Jupiter_Saturn,Jupiter+Saturn,0.057785085559359003,0.007671813001971144,0.05011327255738786,0.09866019383069585,0.09126383039079002,0.061830377577400376,0.7620475904819036,-0.7851629437736505,5000,0.885465763990059
Mars_Jupiter_Neptune,Mars+Jupiter+Neptune,0.05415684142167828,0.013213505079271291,0.04094333634240699,0.09798295409380964,0.09162715278873004,0.06048472862605232,0.8264347130573885,-0.9430416412058469,5000,0.885465763990059
Sun_removed_Moon,Moon,0.01397154910788542,0.001151321889121195,0.012820227218764225,0.021619637338286285,0.02053926830838671,0.011527022576591994,0.7748450309938012,-0.7633723332329619,5000,0.885465763990059
Jupiter_Moon,Jupiter+Moon,0.015105727052528696,0.01288948497031927,0.0022162420822094252,0.06364792271908794,0.06006249927064668,0.0367477376236571,0.9822035592881424,-1.6717132702430808,5000,0.9822035592881424
