theta_deg,phi_deg,energy
90.0,290.0,0.6587975330513197
90.0,110.0,0.6587975330513197
90.0,288.0,0.6586896064844322
90.0,108.0,0.6586896064844322
90.0,292.0,0.6581318139994533
90.0,112.0,0.6581318139994533
88.0,110.0,0.6579951342115874
92.0,110.0,0.6579951342115874
92.0,290.0,0.6579951342115873
88.0,290.0,0.6579951342115873
88.0,108.0,0.6578873390965462
92.0,108.0,0.6578873390965462
92.0,288.0,0.6578873390965461
88.0,288.0,0.6578873390965461
90.0,106.0,0.657808560106176
90.0,286.0,0.6578085601061759
88.0,112.0,0.6573302259887966
88.0,292.0,0.6573302259887966
92.0,112.0,0.6573302259887966
92.0,292.0,0.6573302259887966
