name,bodies,high_R_plv,background_plv,contrast,circular_shift_p,year_block_p,rolling_mean_contrast,rolling_median_contrast,rolling_positive_fraction,n_high_R,n_background,circular_fdr_q,year_block_fdr_q
Venus_Mars_Jupiter,Venus+Mars+Jupiter,0.2888536311762919,0.004597781161725655,0.28425585001456627,0.21015796840631873,0.29094181163767247,0.5459079648239273,0.3586515303401899,1.0,832,15800,0.9488816522409804,0.982003599280144
Venus_Mars,Venus+Mars,0.2521517868788462,0.0068014286769458275,0.24535035820190038,0.508498300339932,0.5146970605878824,0.48468126370424697,0.38478057904249663,1.0,832,15800,0.9488816522409804,0.982003599280144
Mercury_Venus_Mars,Mercury+Venus+Mars,0.21878451920817674,0.026480771022534128,0.1923037481856426,0.6476704659068186,0.5930813837232554,0.4188863514627821,0.28885122947582204,1.0,832,15800,0.9488816522409804,0.982003599280144
All_NonSolar_Major,Mercury+Venus+Mars+Jupiter+Saturn+Uranus+Neptune+Moon,0.14560597362694397,0.005533919501863459,0.1400720541250805,0.41251749650069985,0.5086982603479304,0.38255050433346416,0.2070016821024105,1.0,832,15800,0.9488816522409804,0.982003599280144
Venus_Mars_Moon,Venus+Mars+Moon,0.13496388114735136,0.007822299020035707,0.12714158212731566,0.8220355928814237,0.7630473905218956,0.37771784661317126,0.27046363325766243,1.0,832,15800,0.9488816522409804,0.982003599280144
Jupiter_Saturn_Uranus_Neptune,Jupiter+Saturn+Uranus+Neptune,0.13444298051786993,0.019418259984980195,0.11502472053288973,0.3779244151169766,0.4205158968206359,0.4245733492746216,0.268212209196102,1.0,832,15800,0.9488816522409804,0.982003599280144
Mars_Jupiter,Mars+Jupiter,0.13257366119064518,0.018026511550148398,0.11454714964049678,0.6320735852829434,0.6628674265146971,0.4673598620568012,0.3126618075007755,1.0,832,15800,0.9488816522409804,0.982003599280144
Venus_Jupiter_Neptune,Venus+Jupiter+Neptune,0.10154346004357447,0.010780163293123318,0.09076329675045115,0.642871425714857,0.743251349730054,0.41177280762468893,0.2408718622315848,1.0,832,15800,0.9488816522409804,0.982003599280144
Venus_Jupiter,Venus+Jupiter,0.0857190438623302,0.013800515922078956,0.07191852794025125,0.8116376724655069,0.8554289142171566,0.4171910424916739,0.20894448937525262,0.9714285714285714,832,15800,0.9488816522409804,0.982003599280144
Jupiter_Saturn_Uranus_Pluto,Jupiter+Saturn+Uranus+Pluto,0.10585115823613031,0.0341810954304982,0.07167006280563211,0.5758848230353929,0.6350729854029195,0.4410627794255512,0.295360918731619,1.0,832,15800,0.9488816522409804,0.982003599280144
Jupiter_Uranus_Neptune,Jupiter+Uranus+Neptune,0.07020452553213205,0.008526570055845747,0.0616779554762863,0.740251949610078,0.7936412717456509,0.3494601016475108,0.21384791320195362,1.0,832,15800,0.9488816522409804,0.982003599280144
Jupiter_Saturn,Jupiter+Saturn,0.057785085559359003,0.007671813001971144,0.05011327255738786,0.827634473105379,0.8730253949210158,0.46873443974605594,0.3282887427537514,1.0,832,15800,0.9488816522409804,0.982003599280144
Mars_Jupiter_Neptune,Mars+Jupiter+Neptune,0.05415684142167828,0.013213505079271291,0.04094333634240699,0.885622875424915,0.9230153969206158,0.34672999745633215,0.20342385836166105,1.0,832,15800,0.9488816522409804,0.982003599280144
Sun_removed_Moon,Moon,0.01397154910788542,0.001151321889121195,0.012820227218764225,0.8104379124175165,0.859628074385123,0.12420268764837049,0.059789478849324,1.0,832,15800,0.9488816522409804,0.982003599280144
Jupiter_Moon,Jupiter+Moon,0.015105727052528696,0.01288948497031927,0.0022162420822094252,0.9708058388322336,0.982003599280144,0.2648234566876253,0.17142463232512506,1.0,832,15800,0.9708058388322336,0.982003599280144
