body,threshold_q,proxy_threshold,global_prob,high_r_prob,enrichment,best_lag_days,best_lag_prob,best_lag_enrichment,circular_shift_p,n_high_proxy,n_high_r,n_joint,fdr_q
Jupiter,95.0,1.8956232687467265,0.050024050024050026,0.11658653846153846,2.330609744822485,3,0.1201923076923077,2.4026904585798814,0.0559720139930035,832,832,97,0.3914709312010662
Venus,95.0,1.5039334198248315,0.050024050024050026,0.11177884615384616,2.23450212647929,169,0.13221153846153846,2.6429595044378695,0.11344327836081959,832,832,93,0.3914709312010662
Mars,95.0,1.9292876862058217,0.050024050024050026,0.0985576923076923,1.9702061760355027,56,0.16706730769230768,3.339739737426035,0.11744127936031984,832,832,82,0.3914709312010662
Neptune,95.0,1.3061718209560744,0.050024050024050026,0.08653846153846154,1.7299371301775146,140,0.16040100250626566,3.206477732793522,0.16541729135432284,832,832,72,0.4135432283858071
Moon,95.0,1.7697567067267925,0.050024050024050026,0.057692307692307696,1.1532914201183433,21,0.08533653846153846,1.705910225591716,0.3148425787106447,832,832,48,0.6171914042978511
Mercury,95.0,2.701248500211417,0.050024050024050026,0.054086538461538464,1.0812107063609468,92,0.07272727272727272,1.4538461538461538,0.37031484257871067,832,832,45,0.6171914042978511
Saturn,95.0,1.3528476680622374,0.050024050024050026,0.018028846153846152,0.3604035687869822,134,0.046875,0.9370492788461539,0.5762118940529735,832,832,15,0.823159848647105
Sun,95.0,1.4390695730652485,0.050024050024050026,0.02403846153846154,0.48053809171597633,91,0.0829326923076923,1.6578564164201182,0.8145927036481759,832,832,20,1.0
Uranus,95.0,1.1822012803033983,0.050024050024050026,0.0,0.0,133,0.003605769230769231,0.07208071375739646,1.0,832,832,0,1.0
Pluto,95.0,1.6793305021894693,0.050024050024050026,0.0,0.0,133,0.018028846153846152,0.3604035687869822,1.0,832,832,0,1.0
