s,V
995.2915515234712,
2985.8746545704134,
4976.457757617356,7.436024253606988
6967.040860664298,7.950883330773976
8957.623963711241,6.102192673397807
10948.207066758183,3.738235542306858
12938.790169805125,2.9872561689283605
14929.373272852068,2.5612702232456046
16919.95637589901,2.1831412172408684
18910.539478945953,2.042037071097849
20901.122581992895,2.501025798860967
22891.705685039837,2.8211576912103
24882.28878808678,2.9093000963805817
26872.87189113372,3.0298932703216934
28863.454994180665,3.107311947197801
30854.038097227607,3.158651642548686
32844.62120027455,3.1968603284356183
34835.204303321494,3.2128678777006696
36825.787406368436,2.922280954258114
38816.37050941538,2.7502488198804413
40806.95361246232,2.394366636922933
42797.53671550926,1.9580772507391155
44788.1198185562,1.5632721537231695
46778.702921603144,1.3859082491711106
48769.286024650086,1.3068790449623315
50759.86912769703,0.9838450575175124
52750.45223074398,1.3018049638304263
54741.03533379092,1.7068680408053756
56731.61843683786,2.1031433687437406
58722.2015398848,2.0077243457169027
60712.78464293174,2.413088126558698
62703.367745978685,2.238160637826044
64693.95084902563,2.256520842070633
66684.53395207258,2.3619184336437624
68675.11705511951,2.772084264523964
70665.70015816647,2.597200465918608
72656.2832612134,3.0398852284049025
74646.86636426035,3.0923536161901755
76637.44946730728,2.6120481849990664
78628.03257035423,2.274784160421215
80618.61567340116,2.212132916853279
82609.19877644812,1.5058022698569384
84599.78187949504,1.142528056624316
86590.364982542,1.3728761054339862
88580.94808558893,1.3476805690144311
90571.53118863588,1.4781442575684927
92562.11429168281,1.8912295406655946
94552.69739472977,1.9276932227520773
96543.2804977767,1.9163267778725601
98533.86360082365,2.0477380673836505
100524.44670387058,2.216951617246309
102515.02980691753,1.7300551256827217
104505.61290996446,1.9421140203961218
106496.19601301142,2.123715212008452
108486.77911605837,2.1317481705812638
110477.3622191053,2.142184969826636
112467.94532215226,2.6929835065928662
114458.52842519918,2.6593578093103223
116449.11152824614,2.6336828533858188
118439.69463129307,2.661798285895546
120430.27773434002,2.569143912484396
122420.86083738695,2.55994729908065
124411.4439404339,2.541753744665411
126402.02704348083,2.48725451412402
128392.61014652779,2.4744652215279457
130383.19324957473,2.3628652087314053
132373.77635262167,2.3133547001258004
134364.3594556686,2.439340973310539
136354.94255871556,2.5725334912905256
138345.5256617625,2.179600195815937
140336.10876480944,2.5662115694193384
142326.69186785637,2.6695451252836233
144317.27497090332,2.58176812832477
146307.85807395028,2.242132737904023
148298.4411769972,2.4819349728201754
150289.02428004413,2.2294989620174293
152279.6073830911,1.9070331200589963
154270.19048613805,1.787733626527426
156260.77358918497,1.7714238512233496
158251.3566922319,1.6867968263133388
160241.93979527886,1.710825067245946
162232.5228983258,1.7364447575625466
164223.10600137274,1.7988693365745543
166213.68910441967,1.9083955560143742
168204.27220746662,2.084242508315117
170194.85531051358,1.9312508602056315
172185.4384135605,2.7135290798666896
174176.02151660746,2.701987846058212
176166.60461965442,2.6720531265724903
178157.18772270135,2.770781482563044
180147.77082574827,2.9924888209333766
182138.35392879523,2.504137157986141
184128.9370318422,2.4667416776394577
186119.5201348891,2.570103857589192
188110.10323793604,2.5974177596332053
190100.686340983,2.434349112179369
192091.26944402995,2.423079139501754
194081.85254707688,2.816930272450485
196072.4356501238,
198063.01875317076,
